,,,------------REGISTERED VOTERS------------,,,,-------------DEMOCRATS--------------,,,,---------------REPUBLICANS---------------,,,,---------------OTHER PARTIES--------------,,,
,,,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
,STATE,,,,,,,,,,,,,,,,,
,PAR 23,,47811,30232,15560,2019,19103,7222,11382,499,16264,15223,536,505,12444,7787,3642,1015
,# VOTING,,33053,22365,9651,1037,12998,4987,7732,279,13390,12758,298,334,6665,4620,1621,424
,% VOTING,,69.13,73.98,62.02,51.36,68.04,69.05,67.93,55.91,82.33,83.81,55.60,66.14,53.56,59.33,44.51,41.77
,PAR 24,,21796,10773,10555,468,13096,3881,9032,183,4489,4267,127,95,4211,2625,1396,190
,# VOTING,,16939,8787,7851,301,10164,3087,6962,115,3918,3773,72,73,2857,1927,817,113
,% VOTING,,77.72,81.57,74.38,64.32,77.61,79.54,77.08,62.84,87.28,88.42,56.69,76.84,67.85,73.41,58.52,59.47
,PAR 25,,9975,6992,2782,201,3810,1467,2298,45,4032,3901,71,60,2133,1624,413,96
,# VOTING,,7722,5611,1973,138,2866,1130,1703,33,3503,3410,41,52,1353,1071,229,53
,% VOTING,,77.41,80.25,70.92,68.66,75.22,77.03,74.11,73.33,86.88,87.41,57.75,86.67,63.43,65.95,55.45,55.21
,PAR 26,,282452,171468,75065,35919,110425,43478,56191,10756,87896,78653,1536,7707,84131,49337,17338,17456
,# VOTING,,195710,126399,47350,21961,76589,31376,38301,6912,69712,63541,789,5382,49409,31482,8260,9667
,% VOTING,,69.29,73.72,63.08,61.14,69.36,72.17,68.16,64.26,79.31,80.79,51.37,69.83,58.73,63.81,47.64,55.38
,PAR 27,,21327,17310,3511,506,7666,4922,2628,116,7700,7464,99,137,5961,4924,784,253
,# VOTING,,14937,12485,2180,272,5211,3364,1783,64,6269,6135,43,91,3457,2986,354,117
,% VOTING,,70.04,72.13,62.09,53.75,67.98,68.35,67.85,55.17,81.42,82.19,43.43,66.42,57.99,60.64,45.15,46.25
,PAR 28,,161517,114366,38391,8760,51972,22948,26818,2206,64042,60242,1438,2362,45503,31176,10135,4192
,# VOTING,,115650,86197,24044,5409,36580,16859,18335,1386,51636,49129,780,1727,27434,20209,4929,2296
,% VOTING,,71.60,75.37,62.63,61.75,70.38,73.47,68.37,62.83,80.63,81.55,54.24,73.12,60.29,64.82,48.63,54.77
,PAR 29,,61093,50698,7654,2741,20930,14930,5421,579,23382,22294,242,846,16781,13474,1991,1316
,# VOTING,,45736,39259,4778,1699,14960,10914,3720,326,19996,19220,123,653,10780,9125,935,720
,% VOTING,,74.86,77.44,62.42,61.98,71.48,73.10,68.62,56.30,85.52,86.21,50.83,77.19,64.24,67.72,46.96,54.71
,PAR 30,,9119,8277,656,186,2370,1823,507,40,4749,4666,22,61,2000,1788,127,85
,# VOTING,,7124,6616,394,114,1686,1337,328,21,4123,4065,9,49,1315,1214,57,44
,% VOTING,,78.12,79.93,60.06,61.29,71.14,73.34,64.69,52.50,86.82,87.12,40.91,80.33,65.75,67.90,44.88,51.76
,PAR 31,,27947,16904,9955,1088,10563,2714,7474,375,10203,9739,265,199,7181,4451,2216,514
,# VOTING,,19437,13089,5763,585,6952,2058,4696,198,8368,8098,141,129,4117,2933,926,258
,% VOTING,,69.55,77.43,57.89,53.77,65.81,75.83,62.83,52.80,82.02,83.15,53.21,64.82,57.33,65.90,41.79,50.19
,PAR 32,,87398,78828,5394,3176,18848,14393,3916,539,43346,42049,177,1120,25204,22386,1301,1517
,# VOTING,,65580,59737,3749,2094,13498,10281,2887,330,36020,35026,116,878,16062,14430,746,886
,% VOTING,,75.04,75.78,69.50,65.93,71.62,71.43,73.72,61.22,83.10,83.30,65.54,78.39,63.73,64.46,57.34,58.40
,PAR 33,,7631,2673,4845,113,4347,561,3755,31,1565,1436,100,29,1719,676,990,53
,# VOTING,,4737,1967,2726,44,2657,383,2263,11,1227,1167,43,17,853,417,420,16
,% VOTING,,62.08,73.59,56.26,38.94,61.12,68.27,60.27,35.48,78.40,81.27,43.00,58.62,49.62,61.69,42.42,30.19
,PAR 34,,18381,9288,8780,313,8711,1834,6784,93,5568,5204,285,79,4102,2250,1711,141
,# VOTING,,11707,6693,4863,151,5394,1221,4130,43,4339,4175,119,45,1974,1297,614,63
,% VOTING,,63.69,72.06,55.39,48.24,61.92,66.58,60.88,46.24,77.93,80.23,41.75,56.96,48.12,57.64,35.89,44.68
,PAR 35,,25211,13985,10096,1130,11357,3468,7453,436,7388,6862,308,218,6466,3655,2335,476
,# VOTING,,16792,10442,5699,651,7375,2520,4592,263,5949,5635,160,154,3468,2287,947,234
,% VOTING,,66.61,74.67,56.45,57.61,64.94,72.66,61.61,60.32,80.52,82.12,51.95,70.64,53.63,62.57,40.56,49.16
,PAR 36,,273816,99704,149817,24295,175287,45100,119379,10808,27686,22602,2244,2840,70843,32002,28194,10647
,# VOTING,,179882,71132,93795,14955,120772,33860,79765,7147,19557,16610,1080,1867,39553,20662,12950,5941
,% VOTING,,65.69,71.34,62.61,61.56,68.90,75.08,66.82,66.13,70.64,73.49,48.13,65.74,55.83,64.56,45.93,55.80
,PAR 37,,106669,64953,37840,3876,40010,10355,28575,1080,39790,37998,862,930,26869,16600,8403,1866
,# VOTING,,69770,46494,21229,2047,25089,7008,17513,568,30671,29715,347,609,14010,9771,3369,870
,% VOTING,,65.41,71.58,56.10,52.81,62.71,67.68,61.29,52.59,77.08,78.20,40.26,65.48,52.14,58.86,40.09,46.62
,PAR 38,,15200,10426,3394,1380,5642,2466,2717,459,5424,4984,92,348,4134,2976,585,573
,# VOTING,,11096,7807,2393,896,4112,1786,2013,313,4380,4064,58,258,2604,1957,322,325
,% VOTING,,73.00,74.88,70.51,64.93,72.88,72.42,74.09,68.19,80.75,81.54,63.04,74.14,62.99,65.76,55.04,56.72
,PAR 39,,16046,10059,5740,247,8445,3636,4732,77,4155,4004,96,55,3446,2419,912,115
,# VOTING,,12519,8254,4097,168,6578,2963,3567,48,3592,3504,45,43,2349,1787,485,77
,% VOTING,,78.02,82.06,71.38,68.02,77.89,81.49,75.38,62.34,86.45,87.51,46.88,78.18,68.17,73.87,53.18,66.96
,PAR 40,,85603,56237,25484,3882,32212,12225,18924,1063,31121,29358,753,1010,22270,14654,5807,1809
,# VOTING,,59562,42032,15287,2243,21804,8735,12436,633,25119,24049,351,719,12639,9248,2500,891
,% VOTING,,69.58,74.74,59.99,57.78,67.69,71.45,65.72,59.55,80.71,81.92,46.61,71.19,56.75,63.11,43.05,49.25
,PAR 41,,5942,3333,2521,88,2967,870,2063,34,1836,1753,58,25,1139,710,400,29
,# VOTING,,4193,2508,1631,54,2056,608,1424,24,1507,1468,22,17,630,432,185,13
,% VOTING,,70.57,75.25,64.70,61.36,69.30,69.89,69.03,70.59,82.08,83.74,37.93,68.00,55.31,60.85,46.25,44.83
,PAR 42,,14386,8980,5165,241,5627,1708,3857,62,5433,5188,169,76,3326,2084,1139,103
,# VOTING,,10040,6854,3043,143,3717,1199,2484,34,4450,4321,75,54,1873,1334,484,55
,% VOTING,,69.79,76.33,58.92,59.34,66.06,70.20,64.40,54.84,81.91,83.29,44.38,71.05,56.31,64.01,42.49,53.40
,PAR 43,,15107,11471,2256,1380,5112,2973,1719,420,6414,5881,74,459,3581,2617,463,501
